name,language,category,provider,meaning
2B1Q,en,computer_science,wikipedia,2 binary 1 quaternary
3GPP,en,computer_science,wikipedia,3rd Generation Partnership Project – 3G comms
3GPP2,en,computer_science,wikipedia,3rd Generation Partnership Project 2
AAA,en,computer_science,wikipedia,"Authentication, authorization, and accounting"
AABB,en,computer_science,wikipedia,Axis Aligned Bounding Box
AAC,en,computer_science,wikipedia,Advanced Audio Coding
AAL,en,computer_science,wikipedia,ATM Adaptation Layer
AALC,en,computer_science,wikipedia,ATM Adaptation Layer Connection
AARP,en,computer_science,wikipedia,AppleTalk Address Resolution Protocol
ABAC,en,computer_science,wikipedia,Attribute-Based Access Control
ABCL,en,computer_science,wikipedia,Actor-Based Concurrent Language
ABI,en,computer_science,wikipedia,Application Binary Interface
ABM,en,computer_science,wikipedia,Asynchronous Balanced Mode
ABR,en,computer_science,wikipedia,Area Border Router
ABR,en,computer_science,wikipedia,Auto Baud-Rate detection
AC,en,computer_science,wikipedia,Acoustic Coupler
AC,en,computer_science,wikipedia,Alternating Current
AC,en,computer_science,wikipedia,Authorization certificate
ACD,en,computer_science,wikipedia,Automatic Call Distributor
ACE,en,computer_science,wikipedia,Advanced Computing Environment
ACID,en,computer_science,wikipedia,Atomicity Consistency Isolation Durability
ACK,en,computer_science,wikipedia,Amsterdam Compiler Kit
ACK,en,computer_science,wikipedia,ACKnowledgement
ACL,en,computer_science,wikipedia,Access Control List
ACL,en,computer_science,wikipedia,Active Current Loop
ACM,en,computer_science,wikipedia,Association for Computing Machinery
ACME,en,computer_science,wikipedia,Automated Classification of Medical Entities
ACP,en,computer_science,wikipedia,Airline Control Program
ACPI,en,computer_science,wikipedia,Advanced Configuration and Power Interface
ACR,en,computer_science,wikipedia,Attenuation to Crosstalk Ratio
ACR,en,computer_science,wikipedia,Allowed Cell Rate
AD,en,computer_science,wikipedia,Administrative Domain
AD,en,computer_science,wikipedia,Active Directory
ADB,en,computer_science,wikipedia,Apple Desktop Bus
ADC,en,computer_science,wikipedia,Analog-to-Digital Converter
ADC,en,computer_science,wikipedia,Apple Display Connector
ADCCP,en,computer_science,wikipedia,Advanced Data Communications Control Procedures
ADDS,en,computer_science,wikipedia,Applied Digital Data Systems
ADO,en,computer_science,wikipedia,ActiveX Data Objects
ADSL,en,computer_science,wikipedia,Asymmetric Digital Subscriber Line
ADT,en,computer_science,wikipedia,Abstract Data Type
AE,en,computer_science,wikipedia,Adaptive Equalizer
AE,en,computer_science,wikipedia,Authenticated encryption
AEAD,en,computer_science,wikipedia,Authenticated encryption with associated data
AES,en,computer_science,wikipedia,Advanced Encryption Standard
AF,en,computer_science,wikipedia,Anisotropic Filtering
AFIPS,en,computer_science,wikipedia,American Federation of Information Processing Societies
AFP,en,computer_science,wikipedia,Apple Filing Protocol
AGI,en,computer_science,wikipedia,Artificial General Intelligence
AGP,en,computer_science,wikipedia,Accelerated Graphics Port
AH,en,computer_science,wikipedia,Authentication Header
AH,en,computer_science,wikipedia,Active Hub
AHCI,en,computer_science,wikipedia,Advanced Host Controller Interface
AI,en,computer_science,wikipedia,Artificial Intelligence
AJAX,en,computer_science,wikipedia,Asynchronous JavaScript and XML
AL,en,computer_science,wikipedia,Access List
AL,en,computer_science,wikipedia,Active Link
ALAC,en,computer_science,wikipedia,Apple Lossless Audio Codec
ALE,en,computer_science,wikipedia,Annualized loss expectancy
ALSA,en,computer_science,wikipedia,Advanced Linux Sound Architecture
ALU,en,computer_science,wikipedia,Arithmetic and Logical Unit
AM,en,computer_science,wikipedia,Active Matrix
AM,en,computer_science,wikipedia,Allied Mastercomputer
AM,en,computer_science,wikipedia,Amplitude Modulation
AM,en,computer_science,wikipedia,Access Method
